TaDiRAH Kategorie,machine label (from readme on github),label EN (from tadirah.dariah.eu/vocab),label EN (course registry),QID,tema number,related research activity (tema number),Mapping DH Zotero,Mapping Custom Zotero,used in *****,Not matched from Zotero
Research Techniques,preservation_metadata > storage - preservation,Preservation Metadata,Preservation Metadata,Q7241044,117,41,,t_PreservationMetadata,X,
Research Techniques,principal_component_analysis > analysis - stylistic_analysis,Principal Component Analysis,Principal Component Analysis,Q2873,118,31,t_PCA,t_PCA,X,
Research Techniques,replication > storage - preservation,Replication,Replication,Q1332873,119,41,,t_Replication,,
Research Techniques,scanning,Scanning,Scanning,Q59155052,120,,,t_Scanning,,
Research Techniques,searching,Searching,Searching,,121,,,t_Searching,X,
Research Techniques,sentiment_analysis > analysis - content_analysis,Sentiment Analysis,Sentiment Analysis,Q2271421,122,26,t_SentimentAnalysis,t_SentimentAnalysis,,
Research Techniques,sequence_alignment > analysis - relational_analysis,Sequence Alignment,Sequence Alignment,,123,28,,t_SequenceAlignment,,
Research Techniques,technology_preservation > storage - preservation,Technology Preservation,Technology Preservation,,124,41,,t_TechnologyPreservation,X,
Research Techniques,topic_modeling > analysis - content_analysis,Topic Modeling,Topic Modeling,,125,26,t_TopicModeling,t_TopicModeling,X,
Research Techniques,versioning > storage - preservation,Versioning,Versioning,Q189439,126,41,,t_Versioning,,
Research Techniques,web_crawling > capture - gathering,Web Crawling,Web Crawling,Q61466324,127,11,obj_Web,obj_Web,X,
Missing in TaDiRAH,,,Text Mining,Q676880,,,,t_TextMining,X,
Disciplines,,,Archaeology,Q23498,,,obj_Archaeology,obj_Archaeology,,
,,,Arts and Cultural Studies,Q1143546,,,,disc_ArtsCulturalStudies,,
,,,Cognitive Science,Q147638,,,,disc_CognitiveScience,,
,,,Computer Science,Q21198,,,,disc_ComputerScience,X,
,,,Ethnology,Q43455,,,,disc_Ethnology,,
,,,Gender Studies,Q1662673,,,,disc_GenderStudies,,
,,,History,Q1066186,,,,disc_History,X,
,,,Human Language Technologies,,,,,disc_HumanLanguageTechnologies,X,
,,,Legal Studies,,,,,disc_LegalStudies,,
,,,Library Science and Information Science,Q13420675,,,,disc_LibraryInformationScience,,
,,,Linguistics and Language Studies,Q64810203,,,,disc_LinguisticsLanguageScience,X,
,,,Literary and Philological Studies,Q208217,,,,disc_LiteraryPhilologicalStudies,X,
,,,Media and Communication Studies,Q14623843,,,,disc_MediaCommunicationStudies,,
,,,Musicology,Q164204,,,,disc_Musicology,X,
,,,Other,,,,,,,
,,,Philosophy,Q5891,,,,disc_Philosophy,,
,,,Social Sciences,Q34749,,,,disc_SocialSciences,X,
,,,Theology and Religious Studies,Q64687996,,,,disc_TheologyReligiousStudies,,
,,,Theory and Methodology of DH,,,,,disc_TheoryMethodologyDH,X,
